
---------- Begin Simulation Statistics ----------
simSeconds                                   1.820284                       # Number of seconds simulated (Second)
simTicks                                 1820283557004                       # Number of ticks simulated (Tick)
finalTick                                1820283557004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5104.06                       # Real time elapsed on the host (Second)
hostTickRate                                356634374                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1472088                       # Number of bytes of host memory used (Byte)
simInsts                                    362084878                       # Number of instructions simulated (Count)
simOps                                      415116913                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70940                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81331                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       267272391                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      278494102                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1998342                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     279465150                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                156771                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            20274285                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15421364                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             180291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          260899863                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.071159                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.795501                       # Number of insts issued each cycle (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     71.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead     47683539     17.06%     88.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite     32106373     11.49%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     279465150                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.045619                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                            3409105                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.012199                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               823378833                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites              300778943                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses      271051897                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                        0                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                       0                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses               0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                   17206                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                  10345                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses           7856                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                  282812160                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                           0                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                       8874                       # Number of vector alu accesses (Count)
system.cpu0.idleCycles                              0                       # Number of cycles IEW is idle (Cycle)
system.cpu0.squashCycles                      1221501                       # Number of cycles IEW is squashing (Cycle)
system.cpu0.blockCycles                      26557558                       # Number of cycles IEW is blocking (Cycle)
system.cpu0.unblockCycles                     3760382                       # Number of cycles IEW is unblocking (Cycle)
system.cpu0.dispatchedInsts                 283469453                       # Number of instructions dispatched to IQ (Count)
system.cpu0.dispSquashedInsts                  363448                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu0.dispLoadInsts                    42778148                       # Number of dispatched load instructions (Count)
system.cpu0.dispStoreInsts                   32521223                       # Number of dispatched store instructions (Count)
system.cpu0.dispNonSpecInsts                  1306462                       # Number of dispatched non-speculative instructions (Count)
system.cpu0.iqFullEvents                       107956                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu0.lsqFullEvents                     3583118                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu0.memOrderViolationEvents             22788                       # Number of memory order violations (Count)
system.cpu0.predictedTakenIncorrect            394521                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu0.predictedNotTakenIncorrect         587503                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu0.branchMispredicts                  982024                       # Number of branch mispredicts detected at execute (Count)
system.cpu0.numInsts                        277063647                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     46976688                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                  1894743                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                            2977009                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          78789054                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                      53679352                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                    31812366                       # Number of stores executed (Count)
system.cpu0.numRate                          1.036634                       # Inst execution rate ((Count/Cycle))
system.cpu0.instsToCommit                   271292093                       # Cumulative count of insts sent to commit (Count)
system.cpu0.writebackCount                  271059753                       # Cumulative count of insts written-back (Count)
system.cpu0.producerInst                    141695426                       # Number of instructions producing a value (Count)
system.cpu0.consumerInst                    242592101                       # Number of instructions consuming a value (Count)
system.cpu0.wbRate                           1.014170                       # Insts written-back per cycle ((Count/Cycle))
system.cpu0.wbFanout                         0.584089                       # Average fanout of values written-back ((Count/Count))
system.cpu0.timesIdled                         625138                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                        6372528                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                  5198951457                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                  228878869                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    260218158                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              1.167746                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         1.167746                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.856351                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.856351                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                 334235480                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                196075803                       # Number of integer regfile writes (Count)
system.cpu0.vecRegfileReads                      8085                       # number of vector regfile reads (Count)
system.cpu0.vecRegfileWrites                     2887                       # number of vector regfile writes (Count)
system.cpu0.ccRegfileReads                   76478847                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  75918342                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads               1585992901                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                 3445118                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads      42778148                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores     32521223                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads      2754629                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      2623128                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups               60655954                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted         41582839                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect          1051809                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups            26598316                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits               25856796                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.972122                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                7373165                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect             24692                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups        1520283                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits           1470526                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses           49757                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted        11808                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts       20672815                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls        1818051                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts           860598                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    257692886                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.019742                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.020697                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      171873221     66.70%     66.70% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1       33370247     12.95%     79.65% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2       16709762      6.48%     86.13% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        8802612      3.42%     89.55% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        6558262      2.54%     92.09% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        3001794      1.16%     93.26% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6        4388725      1.70%     94.96% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7        1897942      0.74%     95.70% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8       11090321      4.30%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    257692886                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           231440848                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             262780137                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   70670183                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     39476925                       # Number of loads committed (Count)
system.cpu0.commit.amos                           160                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                    1228853                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                  51371832                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions            6847                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                         0                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                  237532632                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls              6126655                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass        49263      0.02%      0.02% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu    191921846     73.04%     73.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult       132302      0.05%     73.10% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv         4915      0.00%     73.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd            0      0.00%     73.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     73.11% # Class of committed instruction (Count)
